,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4042,3490,284.0426330681218,284.04334815019496,,8553696.80067272,5211.587501422261,544254.6998260516,7.9840857854061875,-1,,,,,,,,unassigned,,,,,,,,,,,,
4043,3491,284.02414234730674,284.0248573973754,,11886835.13909607,6533.00291240439,544290.199831502,11.095262513871162,-1,,,,,,,,unassigned,,,,,,,,,,,,
4044,3492,284.0062664271511,284.0069814462764,,4814914.917546785,2819.720486269256,544324.4499797897,4.494278280719759,-1,,,,,,,,unassigned,,,,,,,,,,,,
4045,3497,283.09969887090153,283.1004123169925,,4559112.177079096,3327.25427245191,436853.55985182663,4.255510053176856,-1,,,,,,,,unassigned,,,,,,,,,,,,
4046,3498,283.0817594614071,283.0824728762961,,37326841.39447711,21556.104164760498,436881.5600694394,34.84115824263465,-1,,,,,,,,unassigned,,,,,,,,,,,,
4047,3499,283.05277200682815,283.05348537129305,,10197952.896037566,5913.9542553914225,546157.6998379618,9.518846956451844,-1,,,,,,,,unassigned,,,,,,,,,,,,
4048,3501,283.0347798871249,283.03549322028846,,8143832.846694195,5233.956803533452,546192.44977858,7.601515647000889,-1,,,,,,,,unassigned,,,,,,,,,,,,
4049,3502,283.01631866998855,283.0170319710317,,10201211.886307418,5541.691956183434,546228.4499567705,9.521888922807989,-1,,,,,,,,unassigned,,,,,,,,,,,,
4050,3504,282.251397190626,282.252109158103,,6692263.667103252,4038.449634588271,547708.7001029786,6.246609911694222,-1,,,,,,,,unassigned,,,,,,,,,,,,
4051,3505,282.1419886256885,282.142700401993,,5190244.019142373,2856.1266821838967,438336.7599597669,4.844613324704826,-1,,,,,,,,unassigned,,,,,,,,,,,,
4052,3506,282.12851298944946,282.1292247422002,,3790770.5330003863,2155.769500162899,547946.9498075834,3.538334106708659,-1,,,,,,,,unassigned,,,,,,,,,,,,
